t,nis,ewma,cusum,alarm,safe_mode,vo_trust,lambda_eff
1.070000000000000000e+02,2.513005413836280066e-01,1.431636581705860944e+00,1.419654515795568273e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.080000000000000000e+02,1.010261989803431071e+00,1.423209089867812249e+00,1.424757135693602663e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.090000000000000000e+02,7.339991304768304081e-01,1.409424890679992437e+00,1.427097126998370982e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.100000000000000000e+02,1.651475054116212426e+00,1.414265893948716935e+00,1.438611877539533168e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.110000000000000000e+02,6.314458604887742688e-01,1.398609493279518112e+00,1.439926336144420986e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.120000000000000000e+02,7.034929639423119774e-01,1.384707162692773830e+00,1.441961265783844226e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.130000000000000000e+02,5.172229049667027567e-01,1.367357477538252430e+00,1.442133494833511236e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.140000000000000000e+02,5.227333635116562682e+00,1.444557000689818516e+00,1.489406831184676889e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.150000000000000000e+02,3.717652061566345534e-01,1.423101164799154938e+00,1.488124483246243130e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.160000000000000000e+02,5.558594252076185072e+00,1.505811026544695563e+00,1.538710425767004892e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.170000000000000000e+02,1.468115619576139563e+00,1.505057118405324301e+00,1.548391581962766281e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.180000000000000000e+02,2.478460724144712746e+00,1.524525190520112039e+00,1.568176189204213529e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.190000000000000000e+02,5.388663093995046616e+00,1.601807948589610842e+00,1.617062820144163879e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.200000000000000000e+02,1.401699154846290041e+00,1.597805772714744332e+00,1.626079811692626720e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.210000000000000000e+02,7.341650752732888918e+00,1.712682672315107180e+00,1.694496319219955467e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.220000000000000000e+02,3.669804152719010615e-01,1.685768627174242917e+00,1.693166123372674576e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.230000000000000000e+02,2.367270488680509821e+00,1.699398664404368153e+00,1.711838828259479612e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.240000000000000000e+02,1.865975237250805385e+00,1.702730195861296814e+00,1.725498580631987693e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.250000000000000000e+02,1.176034188995902230e-01,1.671027660322062625e+00,1.721674614820983606e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.260000000000000000e+02,6.279542378783816714e-01,1.650166191873188914e+00,1.722954157199767451e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.270000000000000000e+02,2.063440495126226626e+00,1.658431677938249527e+00,1.738588562151029748e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.280000000000000000e+02,4.908505414427685842e+00,1.723433152668038204e+00,1.782673616295306545e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.290000000000000000e+02,2.770896562677704011e+00,1.744382420868231476e+00,1.805382581922083602e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.300000000000000000e+02,1.957475558481105882e+00,1.748644283620488959e+00,1.819957337506894532e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.310000000000000000e+02,1.859295522461596351e+00,1.750857308397311130e+00,1.833550292731510467e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.320000000000000000e+02,2.480364326843185196e+00,1.765447448766228611e+00,1.853353935999942337e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.330000000000000000e+02,6.128495361452718448e+00,1.852708407019958425e+00,1.909638889614469406e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.340000000000000000e+02,8.171321533435244033e-01,1.831996881946429623e+00,1.912810211147904624e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.350000000000000000e+02,2.763650894680734105e+00,1.850629962201115752e+00,1.935446720094711850e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.360000000000000000e+02,4.112328615363590734e-01,1.821842020187820488e+00,1.934559048710075331e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.370000000000000000e+02,2.300455319601911963e+00,1.831414286176102246e+00,1.952563601906094561e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.380000000000000000e+02,7.693222711293045135e-01,1.810172445875166236e+00,1.955256824617387679e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.390000000000000000e+02,3.993372153807757563e+00,1.853836440033818089e+00,1.990190546155465370e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.400000000000000000e+02,6.630673707432122477e+00,1.949373185381784168e+00,2.051497283229786603e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.410000000000000000e+02,2.771100532931675686e-01,1.915927922740011891e+00,2.049268383762718315e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
1.420000000000000000e+02,2.224075818806655058e-01,1.882057515922824997e+00,2.046492459581525054e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000278e-02,5.500000000000000444e-01
