template,pair_id,I_start,I_goal,fixed_tau0,fixed_success,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_reason,tau_star,tau_request,mm_success
culdesac,17,0.8723214285714286,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,18,0.85,0.9,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
culdesac,19,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,20,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,21,0.8723214285714286,0.022321428571428558,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,22,0.0,0.90859375,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,23,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,24,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,25,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,26,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,27,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,28,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,29,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
