template,pair_id,Seed,I_start,I_goal,tau0,success,reason,Policy,mode,tau_used,tau_gap,tau_star,tau_request,PolicyTemplate
noisy_corridor,27,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,28,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,29,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,30,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,31,0,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,32,0,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,33,0,0.85,0.66,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,34,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,35,0,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,36,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,37,0,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,38,0,0.0,0.0,0.8,0,no path under irreversibility constraint,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,39,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,40,0,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,41,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
noisy_corridor,42,0,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__noisy_corridor
