thr,FPR,TPR,TP,FP,TN,FN
1.206871095076128775e+00,4.858333333333333393e-01,5.731372549019607687e-01,2.923000000000000000e+03,1.166000000000000000e+03,1.234000000000000000e+03,2.177000000000000000e+03
1.218638543988689982e+00,4.812500000000000111e-01,5.703921568627451366e-01,2.909000000000000000e+03,1.155000000000000000e+03,1.245000000000000000e+03,2.191000000000000000e+03
1.234572835041899630e+00,4.762500000000000067e-01,5.676470588235293935e-01,2.895000000000000000e+03,1.143000000000000000e+03,1.257000000000000000e+03,2.205000000000000000e+03
1.245847506765928259e+00,4.712500000000000022e-01,5.650980392156862431e-01,2.882000000000000000e+03,1.131000000000000000e+03,1.269000000000000000e+03,2.218000000000000000e+03
1.258835095278288296e+00,4.666666666666666741e-01,5.623529411764706110e-01,2.868000000000000000e+03,1.120000000000000000e+03,1.280000000000000000e+03,2.232000000000000000e+03
1.268956864421801001e+00,4.641666666666666718e-01,5.586274509803921262e-01,2.849000000000000000e+03,1.114000000000000000e+03,1.286000000000000000e+03,2.251000000000000000e+03
1.280832157432649554e+00,4.600000000000000200e-01,5.556862745098039014e-01,2.834000000000000000e+03,1.104000000000000000e+03,1.296000000000000000e+03,2.266000000000000000e+03
1.290941091863074597e+00,4.562499999999999889e-01,5.525490196078430838e-01,2.818000000000000000e+03,1.095000000000000000e+03,1.305000000000000000e+03,2.282000000000000000e+03
1.309310112569508355e+00,4.533333333333333104e-01,5.490196078431373028e-01,2.800000000000000000e+03,1.088000000000000000e+03,1.312000000000000000e+03,2.300000000000000000e+03
1.319480448210874179e+00,4.512499999999999845e-01,5.450980392156862253e-01,2.780000000000000000e+03,1.083000000000000000e+03,1.317000000000000000e+03,2.320000000000000000e+03
1.330758822076076431e+00,4.487499999999999822e-01,5.413725490196078516e-01,2.761000000000000000e+03,1.077000000000000000e+03,1.323000000000000000e+03,2.339000000000000000e+03
1.344223822598714646e+00,4.445833333333333304e-01,5.384313725490196267e-01,2.746000000000000000e+03,1.067000000000000000e+03,1.333000000000000000e+03,2.354000000000000000e+03
1.356905053525186089e+00,4.404166666666666785e-01,5.354901960784314019e-01,2.731000000000000000e+03,1.057000000000000000e+03,1.343000000000000000e+03,2.369000000000000000e+03
1.376052321665235390e+00,4.379166666666666763e-01,5.317647058823529171e-01,2.712000000000000000e+03,1.051000000000000000e+03,1.349000000000000000e+03,2.388000000000000000e+03
1.389400770980685262e+00,4.341666666666666452e-01,5.284313725490196179e-01,2.695000000000000000e+03,1.042000000000000000e+03,1.358000000000000000e+03,2.405000000000000000e+03
1.399719440919579228e+00,4.316666666666666430e-01,5.247058823529411331e-01,2.676000000000000000e+03,1.036000000000000000e+03,1.364000000000000000e+03,2.424000000000000000e+03
1.409926633052307032e+00,4.279166666666666674e-01,5.215686274509804266e-01,2.660000000000000000e+03,1.027000000000000000e+03,1.373000000000000000e+03,2.440000000000000000e+03
1.424701312916074158e+00,4.229166666666666630e-01,5.190196078431372761e-01,2.647000000000000000e+03,1.015000000000000000e+03,1.385000000000000000e+03,2.453000000000000000e+03
1.432815650105812022e+00,4.212500000000000133e-01,5.149019607843137170e-01,2.626000000000000000e+03,1.011000000000000000e+03,1.389000000000000000e+03,2.474000000000000000e+03
1.446459258602220022e+00,4.195833333333333082e-01,5.107843137254901578e-01,2.605000000000000000e+03,1.007000000000000000e+03,1.393000000000000000e+03,2.495000000000000000e+03
1.457107104968816680e+00,4.179166666666666585e-01,5.066666666666667096e-01,2.584000000000000000e+03,1.003000000000000000e+03,1.397000000000000000e+03,2.516000000000000000e+03
1.475627486468822358e+00,4.149999999999999800e-01,5.031372549019608176e-01,2.566000000000000000e+03,9.960000000000000000e+02,1.404000000000000000e+03,2.534000000000000000e+03
1.493989946538627489e+00,4.124999999999999778e-01,4.994117647058823328e-01,2.547000000000000000e+03,9.900000000000000000e+02,1.410000000000000000e+03,2.553000000000000000e+03
1.505273608723546319e+00,4.095833333333333548e-01,4.958823529411764963e-01,2.529000000000000000e+03,9.830000000000000000e+02,1.417000000000000000e+03,2.571000000000000000e+03
1.526296174610948686e+00,4.058333333333333237e-01,4.927450980392156787e-01,2.513000000000000000e+03,9.740000000000000000e+02,1.426000000000000000e+03,2.587000000000000000e+03
1.542071422687139037e+00,4.037499999999999978e-01,4.888235294117647123e-01,2.493000000000000000e+03,9.690000000000000000e+02,1.431000000000000000e+03,2.607000000000000000e+03
1.563542217478111285e+00,4.004166666666666430e-01,4.852941176470588203e-01,2.475000000000000000e+03,9.610000000000000000e+02,1.439000000000000000e+03,2.625000000000000000e+03
1.577900037527394161e+00,3.987499999999999933e-01,4.811764705882353166e-01,2.454000000000000000e+03,9.570000000000000000e+02,1.443000000000000000e+03,2.646000000000000000e+03
1.599407640097869843e+00,3.937499999999999889e-01,4.786274509803921662e-01,2.441000000000000000e+03,9.450000000000000000e+02,1.455000000000000000e+03,2.659000000000000000e+03
