pair_id,start_y,start_x,goal_y,goal_x,I_start,I_goal,fixed_tau0,fixed_success,fixed_expansions,fixed_cost,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_expansions,safe_cost,safe_reason,mm_feasible,tau_star,tau_request,mm_iters,mm_success,mm_expansions,mm_cost
12,29,15,10,13,1.0,0.25375,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,60,21.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,60,21.0
13,40,18,18,7,1.0,0.883,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,276,33.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,276,33.0
14,19,18,20,21,0.8752,0.2531764705882353,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,8,4.0,relaxed tau to minimal feasible threshold,1,0.87890625,0.88890625,8,1,8,4.0
15,23,27,22,21,1.0,0.25266666666666665,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,14,7.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,14,7.0
16,20,27,40,25,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,63,22.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,63,22.0
17,33,3,32,15,1.0,0.95,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,26,13.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,26,13.0
18,28,22,25,15,0.25375,1.0,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,32,10.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,32,10.0
19,13,30,40,16,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,420,41.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,420,41.0
20,19,3,8,25,0.8662857142857142,0.2522105263157895,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,155,33.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,155,33.0
21,34,20,6,17,0.25024,0.25024,0.8,1,134,41.0,ok,1,NORMAL,0.8,0.0,134,41.0,ok,1,0.25390625,0.26390625,8,1,134,41.0
22,35,4,25,3,1.0,1.0,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,1.0000000000000002,0.20000000000000018,22,11.0,relaxed tau to minimal feasible threshold,1,1.0,1.0,8,1,22,11.0
23,4,21,1,24,0.25266666666666665,0.883,0.8,0,0,inf,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8900000000000001,0.09000000000000008,13,6.0,relaxed tau to minimal feasible threshold,1,0.88671875,0.89671875,8,1,16,6.0
24,18,7,1,14,0.883,0.95,0.8,0,0,inf,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,113,24.0,relaxed tau to minimal feasible threshold,1,0.953125,0.963125,8,1,113,24.0
