t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
8.400000000000000000e+01,8.506343878205397502e+00,4.216236106549241747e+00,8.108238294125884593e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.732111183157724277e+00,9.697917843428096596e-01,1.032143519618353267e+00
8.500000000000000000e+01,8.631962276704022941e+00,4.248420677139946200e+00,4.542623093384372979e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.565275907124656030e+00,9.706980308125253698e-01,1.031149176704627690e+00
8.600000000000000000e+01,8.732872380480589669e+00,4.296569593351264871e+00,1.335911270153498920e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.993261922813010401e-01,9.715770898881496143e-01,1.030186492871472348e+00
8.700000000000000000e+01,8.845794790212638148e+00,4.342991053636261256e+00,1.421288829727566094e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.344825598671395284e+00,9.724297771915051403e-01,1.029254405448282617e+00
8.800000000000000000e+01,8.967925296635339549e+00,4.381699273198343292e+00,2.819130527311817236e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.879783595840087473e+00,9.732568838757600371e-01,1.028351890753613995e+00
8.900000000000000000e+01,9.040294043575235250e+00,4.434027362973195885e+00,2.173676261563846079e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.528161569866399283e+00,9.740591773594872160e-01,1.027477962465307204e+00
9.000000000000000000e+01,9.165538246642936926e+00,4.490697379352442731e+00,1.549448685687499383e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.910813660034786254e-01,9.748374020387026162e-01,1.026631670070430546e+00
9.100000000000000000e+01,9.267009094340430408e+00,4.542732533651181015e+00,5.018193901274914381e-02,1.000000000000000000e+00,1.000000000000000000e+00,8.092288567111084463e-01,9.755922799775414989e-01,1.025812097390471633e+00
9.200000000000000000e+01,9.367898639516960557e+00,4.571485386241473492e+00,1.038082714857313738e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.118746537942420294e-01,9.763245115782152039e-01,1.025018361177499671e+00
9.300000000000000000e+01,9.482909293413012364e+00,4.628083534304557212e+00,9.016694325222659456e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.181524740107333660e+00,9.770347762308687622e-01,1.024249609777300174e+00
9.400000000000000000e+01,9.589753015130098035e+00,4.666922173924406891e+00,1.648013233431068425e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.354725220917357476e+00,9.777237329439426583e-01,1.023505021855746877e+00
