thr,FPR,TPR,TP,FP,TN,FN
1.630336234936976103e+00,3.887499999999999845e-01,4.725490196078431238e-01,2.410000000000000000e+03,9.330000000000000000e+02,1.467000000000000000e+03,2.690000000000000000e+03
1.647303119148555428e+00,3.850000000000000089e-01,4.684313725490196201e-01,2.389000000000000000e+03,9.240000000000000000e+02,1.476000000000000000e+03,2.711000000000000000e+03
1.661484576564846050e+00,3.800000000000000044e-01,4.649019607843137281e-01,2.371000000000000000e+03,9.120000000000000000e+02,1.488000000000000000e+03,2.729000000000000000e+03
1.678362652932979149e+00,3.762499999999999734e-01,4.607843137254901689e-01,2.350000000000000000e+03,9.030000000000000000e+02,1.497000000000000000e+03,2.750000000000000000e+03
1.693489750338405209e+00,3.716666666666666452e-01,4.570588235294117396e-01,2.331000000000000000e+03,8.920000000000000000e+02,1.508000000000000000e+03,2.769000000000000000e+03
1.715737154758611993e+00,3.666666666666666408e-01,4.535294117647059031e-01,2.313000000000000000e+03,8.800000000000000000e+02,1.520000000000000000e+03,2.787000000000000000e+03
1.733277309322895476e+00,3.633333333333333415e-01,4.492156862745098067e-01,2.291000000000000000e+03,8.720000000000000000e+02,1.528000000000000000e+03,2.809000000000000000e+03
1.758147684677003664e+00,3.583333333333333370e-01,4.456862745098039147e-01,2.273000000000000000e+03,8.600000000000000000e+02,1.540000000000000000e+03,2.827000000000000000e+03
1.772546550433073964e+00,3.529166666666666563e-01,4.421568627450980227e-01,2.255000000000000000e+03,8.470000000000000000e+02,1.553000000000000000e+03,2.845000000000000000e+03
1.791752097735476834e+00,3.466666666666666785e-01,4.392156862745097978e-01,2.240000000000000000e+03,8.320000000000000000e+02,1.568000000000000000e+03,2.860000000000000000e+03
1.810688902233096531e+00,3.437500000000000000e-01,4.347058823529411642e-01,2.217000000000000000e+03,8.250000000000000000e+02,1.575000000000000000e+03,2.883000000000000000e+03
1.827841407958926911e+00,3.391666666666666718e-01,4.309803921568627350e-01,2.198000000000000000e+03,8.140000000000000000e+02,1.586000000000000000e+03,2.902000000000000000e+03
1.848597721166731489e+00,3.345833333333333437e-01,4.272549019607843057e-01,2.179000000000000000e+03,8.030000000000000000e+02,1.597000000000000000e+03,2.921000000000000000e+03
1.870484890022408031e+00,3.312499999999999889e-01,4.229411764705882093e-01,2.157000000000000000e+03,7.950000000000000000e+02,1.605000000000000000e+03,2.943000000000000000e+03
1.886863630786571155e+00,3.300000000000000155e-01,4.176470588235294268e-01,2.130000000000000000e+03,7.920000000000000000e+02,1.608000000000000000e+03,2.970000000000000000e+03
1.910115444094125925e+00,3.258333333333333082e-01,4.137254901960784048e-01,2.110000000000000000e+03,7.820000000000000000e+02,1.618000000000000000e+03,2.990000000000000000e+03
1.937682891637880989e+00,3.208333333333333592e-01,4.101960784313725683e-01,2.092000000000000000e+03,7.700000000000000000e+02,1.630000000000000000e+03,3.008000000000000000e+03
1.959958123884891545e+00,3.200000000000000067e-01,4.045098039215686003e-01,2.063000000000000000e+03,7.680000000000000000e+02,1.632000000000000000e+03,3.037000000000000000e+03
1.977337930842821834e+00,3.154166666666666785e-01,4.007843137254901711e-01,2.044000000000000000e+03,7.570000000000000000e+02,1.643000000000000000e+03,3.056000000000000000e+03
2.005022407587859323e+00,3.104166666666666741e-01,3.972549019607843346e-01,2.026000000000000000e+03,7.450000000000000000e+02,1.655000000000000000e+03,3.074000000000000000e+03
2.035742243539942375e+00,3.070833333333333193e-01,3.929411764705882382e-01,2.004000000000000000e+03,7.370000000000000000e+02,1.663000000000000000e+03,3.096000000000000000e+03
2.057241950105908934e+00,3.041666666666666408e-01,3.884313725490196045e-01,1.981000000000000000e+03,7.300000000000000000e+02,1.670000000000000000e+03,3.119000000000000000e+03
2.080745966287370852e+00,2.999999999999999889e-01,3.845098039215686381e-01,1.961000000000000000e+03,7.200000000000000000e+02,1.680000000000000000e+03,3.139000000000000000e+03
