y,x,IG,I_local,R_local,score_IG,score_IG_I,score_IG_I_R
14,24,0.44000000000000006,0.25718394601476957,0.3142857142955102,0.44000000000000006,0.2342528431881844,-0.10860429966406049
15,2,0.488,0.26162787258660486,0.7571428571463267,0.488,0.2786977019307161,0.15726913050387942
15,6,0.4160000000000001,0.25853771709231227,0.7000000000042857,0.4160000000000001,0.20916982632615028,0.05916982632829315
15,22,0.44000000000000006,0.25830581614463966,0.35714285715204086,0.44000000000000006,0.23335534708428832,-0.08807322433969125
15,24,0.4640000000000001,0.2591721018589254,0.32857142858102045,0.4640000000000001,0.2566623185128597,-0.0790519671966301
16,3,0.392,0.25737591268685545,0.728571428575306,0.392,0.18609926985051564,0.05038498413816864
16,5,0.36800000000000005,0.2567476987831122,0.7000000000042857,0.36800000000000005,0.16260184097351027,0.012601840975653145
16,21,0.488,0.26267010185892536,0.38571428572306127,0.488,0.2778639185128597,-0.029278938625609652
16,24,0.48800000000000004,0.2626701018589254,0.34285714286653063,0.48800000000000004,0.2778639185128597,-0.05070751005387503
17,3,0.48800000000000004,0.2615924784688995,0.7142857142897959,0.48800000000000004,0.27872601722488044,0.1358688743697784
17,5,0.48800000000000004,0.26121953729242897,0.6857142857187755,0.48800000000000004,0.27902437016605686,0.12188151302544459
17,21,0.4640000000000001,0.2591721018589254,0.40000000000857144,0.4640000000000001,0.2566623185128597,-0.04333768148285455
17,23,0.44000000000000006,0.2583058161446397,0.3714285714375511,0.44000000000000006,0.2333553470842883,-0.08093036719693614
18,3,0.5840000000000001,0.2694242305764411,0.7000000000042857,0.5840000000000001,0.3684606155388472,0.21846061554099006
18,4,0.5840000000000001,0.266133373433584,0.6857142857187755,0.5840000000000001,0.3710933012531329,0.21395044411252062
18,5,0.5840000000000001,0.2693032781954887,0.6714285714332654,0.5840000000000001,0.36855737744360906,0.20427166316024176
18,21,0.44000000000000006,0.2571839460147695,0.4085714285798776,0.44000000000000006,0.23425284318818443,-0.06146144252187677
18,23,0.4640000000000001,0.26155581614463963,0.3800000000088572,0.4640000000000001,0.2547553470842884,-0.055244652911283
19,20,0.46399999999999997,0.2614853175451999,0.4257142857224898,0.46399999999999997,0.25481174596384004,-0.03233111117491505
19,22,0.44000000000000006,0.2567321140819964,0.3971428571514694,0.44000000000000006,0.23461430873440292,-0.06681426268986235
20,20,0.44000000000000006,0.25815403361344536,0.4228571428653878,0.44000000000000006,0.23347677310924375,-0.05509465545806236
20,22,0.4640000000000001,0.2578641634835752,0.39428571429436743,0.4640000000000001,0.2577086692131399,-0.04514847363967639
21,19,0.488,0.26305137533673756,0.4285714285795919,0.488,0.27755889973060993,-0.008155385979594143
21,22,0.4640000000000001,0.25894299438435664,0.38571428572306127,0.4640000000000001,0.25684560449251476,-0.05029725264595458
22,19,0.46399999999999997,0.2596952249607977,0.41428571429408173,0.46399999999999997,0.2562438200313618,-0.03661332282159735
22,21,0.392,0.25502017734175003,0.38571428572306127,0.392,0.18798385812659998,-0.11915899901186935
23,19,0.44,0.2576490405961428,0.4000000000085715,0.44,0.23388076752308576,-0.06611923247262849
23,22,0.48800000000000004,0.2599527090453406,0.35714285715204086,0.48800000000000004,0.2800378327637275,-0.04139073866025206
24,19,0.41600000000000004,0.2563074326632671,0.38571428572306127,0.41600000000000004,0.21095405386938634,-0.096188803269083
24,21,0.36800000000000005,0.254514826602661,0.35714285715204086,0.36800000000000005,0.16438813871787122,-0.15704043270610835
25,19,0.392,0.2553507108587558,0.37142857143755104,0.392,0.18771943131299534,-0.12656628296822914
25,22,0.4640000000000001,0.259004714691868,0.32857142858102045,0.4640000000000001,0.2567962282465057,-0.07891805746298408
26,18,0.488,0.26305450078812465,0.37142857143755104,0.488,0.2775563993695003,-0.03672931491172421
26,22,0.4640000000000001,0.2582032405519728,0.3142857142955102,0.4640000000000001,0.2574374075584218,-0.08541973529382307
27,18,0.488,0.2618019844076595,0.35714285715204086,0.488,0.27855841247387236,-0.04287015895010721
27,22,0.44000000000000006,0.25719719998671403,0.30000000001000005,0.44000000000000006,0.23424224001062882,-0.11575775998437116
28,18,0.488,0.2630138051359508,0.3428571428665307,0.488,0.27758895589123933,-0.05098247267549533
28,22,0.44000000000000006,0.25633597300621935,0.2857142857244898,0.44000000000000006,0.23493122159502455,-0.12221163554273051
29,19,0.392,0.254866382300788,0.3142857142955102,0.392,0.1881068941593696,-0.1547502486928753
29,22,0.4160000000000001,0.2551525067027019,0.27142857143897964,0.4160000000000001,0.21187799463783857,-0.15240771964267158
30,19,0.41600000000000004,0.25483014379147123,0.30000000001000005,0.41600000000000004,0.21213588496682304,-0.13786411502817694
30,22,0.368,0.2540693586374678,0.2571428571534694,0.368,0.16474451309002572,-0.20668405833323958
31,19,0.41600000000000004,0.25455994784706476,0.2857142857244898,0.41600000000000004,0.21235204172234823,-0.14479081541540684
31,23,0.4159999999999999,0.25783310883509636,0.22857142858244903,0.4159999999999999,0.20973351293192283,-0.17598077277685265
